Adsorbent,尺寸,Surface area ,孔径,孔容,zeta,-OH,-CO3,-COOH,-N,金属,非金属,pH,Mo初始浓度,Dose,吸附动力学,Mo adsorption capacity,
α-Al2O3,纳米,,,,,1,0,0,0,Al,,1,,125,30,69,
γ-Al2O3,微米,175,20,0.3,/,1,0,0,0,Al,,3,15000,2,,46,
MA_700,纳米,229,60,/,/,1,0,0,0,Al,,3,1000,2,120,31,
铝嵌入型介孔硅,纳米,463,32,0.47,/,1,0,0,0,Al,Si,3,1000,10,120,17,
AlEG-Pro(1)-700,微米,276,70,/,/,1,0,0,0,Al,,3,1000,10,120,41,
氧化铝微球,/,175,25,0.3,/,1,0,0,0,Al,,3,,,,46,
纳米晶γ-Al₂O₃,纳米,252,55,0.3,/,1,0,0,0,Al,,3,10000,10,10,205,
MA,微米,230,20,/,6.5,1,0,0,0,Al,,3,10000,9,30,225,
TUD-1,微米,402,80,0.84,6.5,1,0,0,0,Al,,2,4800,20,10,112,
Al99Mo 凝胶,微米,30,/,/,/,1,0,0,0,Al,,5,50000,,300,364,
介孔 γ-Al2O3,微米,287,18,/,6.5,1,0,0,0,Al,,3,25000,,30,375,
t-ZrO2,纳米,340,4,/,4.5,1,0,0,0,Zr,,9,10000,10,5,250,
单斜氧化锆MZ,,/,/,/,/,1,0,0,0,Zr,S、P,3,,100,60,77,
正交OZ,,/,/,/,/,1,0,0,0,Zr,,3,,100,60,150,
硫酸化SZ,微米,/,/,/,/,1,0,0,0,Zr,,7,,100,,16,
磷酸化PZ,微米,/,/,/,/,1,0,0,0,Zr,,3,,100,,13,
PZC,微米,/,/,/,/,1,0,0,0,Zr,,7,26000,100,1800,250,
PZC,微米,/,/,/,6.5,1,0,0,0,Zr,,2,20000,100,1800,318,
ZrOH4 #2,纳米,151,19.3,0.15,,1,1,0,0,Zr,,2,1000,10,1440,300,
ZrOH4 #1,纳米,76,,0.06,,1,1,0,0,Zr,,2,1000,10,1440,165,
UiO-66 (Zr),纳米,1624,6,0.59,9.2,0,0,1,0,Zr,,3,20000,10,1440,334,
Form-UiO-66,纳米,1653,6,0.61,9.5,0,0,1,0,Zr,,3,20000,10,1440,293,
UiO-66-NH2,纳米,295,6,0.11,9.1,0,0,1,1,Zr,,3,20000,10,1440,142,
UiO-66-NO2,,575,6,0.19,8.2,0,0,1,1,Zr,,3,20000,10,1440,225,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,20000,6,180,525,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,1500,6,60,220,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,1500,6,150,220,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,1500,6,300,220,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,5000,6,180,350,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,5000,6,300,365,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,10000,6,180,410,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,10000,6,300,410,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,15000,6,300,450,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,20000,6,300,475,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,2,5000,6,300,457,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,3,5000,6,300,350,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,5,5000,6,300,210,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,7.5,5000,6,300,150,
PCN-222,微米,1882,37,1.22,6.7,0,0,1,1,Zr,C,10,5000,6,300,140,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,20000,6,120,455,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,1500,6,60,160,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,1500,6,150,195,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,1500,6,300,195,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,5000,6,180,325,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,5000,6,300,330,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,10000,6,180,370,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,10000,6,300,380,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,15000,6,300,195,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,20000,6,300,410,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,2,5000,6,300,332,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,3,5000,6,300,321,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,5,5000,6,300,210,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,7.5,5000,6,300,145,
PCN-224,纳米,1467,10,0.56,6.7,0,0,1,1,Zr,C,8.7,5000,6,300,145,
TiP聚合物嵌入二氧化钛,纳米,30,400,/,/,0,0,1,0,Ti,,,,10,60,110,
商用TiO2,纳米,52,/,/,/,1,0,0,0,Ti,,7,100,4,1440,6.5,
溶胶‐凝胶TiO₂,纳米,/,/,/,/,1,0,0,0,Ti,,7,100,4,1440,2.5,
Hydrous TiO2,微米,/,/,/,/,1,0,0,0,Ti,,2,10000,166,60,230,
CeO2 CP-2,纳米,173,23,0.057,7,1,0,0,0,Ce,,3,5000,,60,184,
CeO2 HT-1,纳米,187,27,0.128,7,1,0,0,0,Ce,,3,5000,,15,192,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,20000,6,30,475,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,1500,6,30,140,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,1500,6,90,170,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,1500,6,180,175,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,40,260,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,70,270,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,300,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,10000,6,40,350,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,10000,6,180,395,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,15000,6,180,380,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,20000,6,180,360,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,400,
